GRADES,SCORES,ATTENDANCE,ENGAGEMENT,STUDY HOURS,STYLE,INTEREST,MANAGEMENT,CONSISTENCY,MENTAL_CONDITION,RESPONSE_TO_FEEDBACK,HEALTH_CONDITION,FAST_LEARNER
A+,866,85,POSITIVE,3.1,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,365,76,NEGATIVE,2.1,VISUAL,NO,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
B+,522,93,POSITIVE,1.9,KINESTHETIC,NO,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
B+,333,64,POSITIVE,1.6,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B,337,61,NEGATIVE,1.5,AUDITORY,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,779,67,POSITIVE,3.2,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,NO
B+,407,62,NEGATIVE,2.7,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,870,93,POSITIVE,2.4,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,494,71,NEGATIVE,1.7,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C+,369,82,POSITIVE,2.7,VISUAL,YES,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,540,95,POSITIVE,3.2,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,333,67,NEGATIVE,1.1,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,751,85,POSITIVE,3.1,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A-,895,90,POSITIVE,2.6,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,839,90,POSITIVE,2.8,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A-,333,69,NEGATIVE,3.1,VISUAL,NO,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
A,811,94,POSITIVE,3.3,KINESTHETIC,NO,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,YES
A+,691,91,POSITIVE,2.5,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,387,71,NEGATIVE,1.2,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,775,83,POSITIVE,2.8,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,675,68,POSITIVE,2.7,VISUAL,YES,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,402,68,NEGATIVE,1.4,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,351,78,NEGATIVE,2.8,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,YES
A,781,92,POSITIVE,1.8,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,465,92,POSITIVE,3.4,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,670,82,POSITIVE,2.5,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,368,64,NEGATIVE,1.1,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C-,333,63,NEGATIVE,1.6,AUDITORY,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,777,89,POSITIVE,2.7,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C-,390,71,NEGATIVE,1.5,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C+,349,78,NEGATIVE,1.3,AUDITORY,NO,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,YES
C+,399,89,POSITIVE,3.0,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,714,86,POSITIVE,3.5,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C+,333,63,NEGATIVE,1.4,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B,333,65,NEGATIVE,1.2,AUDITORY,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,834,93,POSITIVE,2.2,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,630,91,POSITIVE,3.0,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,333,74,NEGATIVE,1.3,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,868,77,POSITIVE,2.7,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,696,92,POSITIVE,3.0,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,771,93,POSITIVE,3.2,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,677,92,POSITIVE,2.0,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,333,58,NEGATIVE,1.4,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A-,641,92,POSITIVE,2.8,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,YES
A,716,94,POSITIVE,2.8,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A-,716,89,POSITIVE,2.8,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A-,769,95,POSITIVE,2.5,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,335,71,NEGATIVE,1.1,VISUAL,NO,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A-,707,91,POSITIVE,2.3,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A+,748,90,POSITIVE,2.6,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,677,90,POSITIVE,2.5,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,333,62,NEGATIVE,1.3,VISUAL,NO,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,794,81,POSITIVE,2.2,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,711,95,POSITIVE,2.8,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,671,88,POSITIVE,2.5,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,343,62,NEGATIVE,1.4,VISUAL,NO,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
A-,839,83,POSITIVE,2.9,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,725,85,POSITIVE,3.1,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A-,473,90,POSITIVE,2.7,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,407,63,NEGATIVE,1.0,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,333,62,NEGATIVE,1.8,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,782,92,POSITIVE,2.3,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,738,87,POSITIVE,2.4,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,333,61,NEGATIVE,1.1,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,742,89,POSITIVE,3.0,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,695,80,POSITIVE,2.8,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,690,94,POSITIVE,3.3,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,411,76,NEGATIVE,1.7,VISUAL,NO,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,NO
C-,333,70,NEGATIVE,1.6,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B,806,95,POSITIVE,2.4,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,578,72,POSITIVE,1.0,AUDITORY,NO,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
A+,729,87,POSITIVE,3.3,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A+,480,72,NEGATIVE,2.9,VISUAL,NO,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
C,791,84,POSITIVE,2.6,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,344,61,NEGATIVE,1.9,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C-,333,65,NEGATIVE,1.0,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,805,90,POSITIVE,3.1,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,358,64,NEGATIVE,1.0,KINESTHETIC,NO,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,333,72,POSITIVE,1.1,KINESTHETIC,YES,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
A,802,90,POSITIVE,2.5,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,757,93,POSITIVE,2.4,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,424,71,POSITIVE,2.9,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NO
B,760,72,NEGATIVE,1.7,VISUAL,NO,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,441,74,NEGATIVE,2.7,VISUAL,YES,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
B+,685,95,POSITIVE,2.9,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C-,785,89,POSITIVE,2.9,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,382,61,NEGATIVE,1.3,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,743,85,POSITIVE,3.5,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,803,92,POSITIVE,2.6,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A+,683,89,POSITIVE,2.9,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,726,90,POSITIVE,2.1,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,398,64,NEGATIVE,1.0,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A-,842,95,POSITIVE,3.2,AUDITORY,YES,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C+,427,70,NEGATIVE,1.0,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B,413,73,NEGATIVE,1.5,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,774,89,POSITIVE,2.5,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,372,67,NEGATIVE,1.2,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,333,63,NEGATIVE,1.4,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A+,757,85,POSITIVE,2.6,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C-,405,70,NEGATIVE,1.8,VISUAL,NO,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
B,499,71,NEGATIVE,1.7,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,666,89,POSITIVE,1.5,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,333,68,NEGATIVE,1.2,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,848,91,POSITIVE,3.2,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,360,77,NEGATIVE,1.3,AUDITORY,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C-,423,67,NEGATIVE,1.4,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B,333,80,NEGATIVE,1.2,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,333,69,NEGATIVE,1.2,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,450,71,NEGATIVE,3.1,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B,391,72,NEGATIVE,1.2,VISUAL,NO,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,362,65,POSITIVE,1.0,VISUAL,NO,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,400,67,NEGATIVE,1.3,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A-,333,63,NEGATIVE,1.3,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,402,74,NEGATIVE,1.3,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A+,660,88,NEGATIVE,3.0,KINESTHETIC,YES,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,395,74,NEGATIVE,1.6,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,707,90,POSITIVE,2.9,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A+,828,91,POSITIVE,2.9,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,845,93,POSITIVE,2.9,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C-,333,74,NEGATIVE,1.6,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,333,72,NEGATIVE,1.0,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B,376,63,NEGATIVE,1.8,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,333,65,NEGATIVE,1.4,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,781,82,POSITIVE,3.5,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,333,66,NEGATIVE,1.1,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B,333,67,NEGATIVE,1.6,AUDITORY,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B,333,71,NEGATIVE,1.3,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B,333,69,NEGATIVE,1.3,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A+,732,85,POSITIVE,2.9,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,333,89,POSITIVE,2.6,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,NO
A,663,83,POSITIVE,2.8,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,698,85,POSITIVE,2.8,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,YES
A,780,86,POSITIVE,2.7,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,415,71,NEGATIVE,1.4,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B,549,78,NEGATIVE,1.2,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,394,77,NEGATIVE,1.3,VISUAL,NO,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
A,362,73,NEGATIVE,2.1,AUDITORY,NO,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,YES
C,417,69,NEGATIVE,1.3,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,763,95,POSITIVE,2.7,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,365,74,NEGATIVE,1.3,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A+,764,95,POSITIVE,2.9,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C-,400,73,NEGATIVE,1.2,VISUAL,NO,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C+,333,70,NEGATIVE,1.2,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,702,93,POSITIVE,3.3,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,333,74,POSITIVE,1.4,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,384,58,NEGATIVE,1.1,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,449,60,NEGATIVE,1.0,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,844,92,POSITIVE,3.3,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,862,95,POSITIVE,3.3,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A-,689,95,POSITIVE,3.2,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,709,91,POSITIVE,3.9,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A-,649,87,POSITIVE,2.4,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,709,69,POSITIVE,2.7,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,YES
B,333,66,NEGATIVE,1.5,AUDITORY,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A-,490,86,POSITIVE,2.7,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,YES
C+,333,69,NEGATIVE,1.4,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,622,83,POSITIVE,2.2,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A-,629,93,POSITIVE,3.0,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,643,87,POSITIVE,3.3,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,333,63,NEGATIVE,1.2,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A-,705,83,POSITIVE,2.8,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,740,81,POSITIVE,2.6,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C+,403,75,NEGATIVE,1.3,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,333,69,NEGATIVE,1.4,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,702,74,POSITIVE,2.6,AUDITORY,NO,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NO
C+,485,69,NEGATIVE,1.0,AUDITORY,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B,333,62,NEGATIVE,1.1,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,763,86,POSITIVE,2.6,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,747,95,POSITIVE,3.4,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,439,69,POSITIVE,1.4,KINESTHETIC,YES,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,333,81,POSITIVE,2.2,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,475,71,NEGATIVE,1.2,KINESTHETIC,NO,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,785,95,POSITIVE,3.9,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,349,68,NEGATIVE,1.0,AUDITORY,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,779,83,POSITIVE,2.6,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A+,418,95,POSITIVE,2.3,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,711,69,POSITIVE,2.9,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,814,92,POSITIVE,3.2,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,333,62,NEGATIVE,1.4,AUDITORY,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,763,92,POSITIVE,2.2,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,807,82,POSITIVE,3.2,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,333,72,NEGATIVE,1.0,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,815,88,POSITIVE,3.1,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A+,844,91,POSITIVE,3.1,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,656,86,POSITIVE,2.9,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,333,71,NEGATIVE,1.2,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,391,65,NEGATIVE,1.1,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A+,770,84,POSITIVE,2.7,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,333,67,NEGATIVE,1.4,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,431,65,NEGATIVE,1.5,AUDITORY,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,792,64,POSITIVE,2.5,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,333,76,NEGATIVE,1.5,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,365,70,NEGATIVE,1.1,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B,833,88,POSITIVE,2.0,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C-,523,66,NEGATIVE,1.1,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,333,70,NEGATIVE,1.4,VISUAL,NO,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
C+,333,84,NEGATIVE,3.0,AUDITORY,NO,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
A,469,90,POSITIVE,3.0,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,333,63,NEGATIVE,1.8,AUDITORY,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C+,674,84,POSITIVE,1.3,KINESTHETIC,YES,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,720,95,POSITIVE,2.3,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,333,74,NEGATIVE,1.2,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,582,84,POSITIVE,3.3,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
